Comentario,Sentimiento
dirías respecto uso plataforma chatgpt estudiantes sabe gracias pueden facilitar estudio demás atrasa proceso puedan desenvolverse capacidades aprendizaje desventaja,3 stars
,4 stars
1 caer pase fru fru aún creado inteligencia artificial naca hacer facil,5 stars
muchas gracias,5 stars
ia ayuda ahorrar energía creo correcto comentario,4 stars
quie creó arrepintió,1 star
miren black mirror,5 stars
terrible,1 star
nope ayudadara,1 star
ceo s,5 stars
mentira totalmente espejosmo solución cirve,1 star
ia experimente frustracion stress trate remediarlo fin,1 star
robot,5 stars
va dejar hacer pinceles,1 star
toda verdad,5 stars
,4 stars
pasará mismo q película atlas,1 star
tan importante acabará presionará botón resetear,5 stars
éste mundo necesita receteo necesitamos parar manera inteligente,1 star
terminator,5 stars
máquinas,4 stars
sirve,5 stars
única forma lograr equilibrio repartición alimentos q riquezas distribuyan forma equitativa i ambición poder conozca avaricia,4 stars
si tan capo ia encuentre cura cancer ahora dentro 20 años seria chiste,1 star
cambiar sistema político económico lleno desigualdad solo servirá oprimir oprimidos resto cuento,1 star
concepto bueno malo propio seres humanos ia tomará decisiones lógicas racionales ahí dónde radica peligro civilización,2 stars
ia vive ma creativo ma seguro ma integrado ma libre,3 stars
evolución así da paso nueva forma vida evolución solo desapareceremos evolución marcará dentro mile millones años sigue vida,5 stars
seres humanos entiende tecnología simplemente usa,5 stars
siempre dicho q vieron terminator,5 stars
si ia decide bajar sueldo políticos,1 star
manejando pasa frecuencia q pienso q desearía tener hacer salen video relacionados casualidad,3 stars
james cameron visionario grande época,5 stars
ia tomó control adictos redes,4 stars
ia resultado tanta demanda constante tecnología facilismo parte ser humano caímos propia trampa dolerá zafarse,1 star
van aniquilar,5 stars
inteligencia artificial estupidez natural cosa rara,1 star
hace tiempo vengo sosteniendo conocimiento ia debiese ser materia colegios,4 stars
embargo ia sigue siendo peligro pronto decidirá mismos,2 stars
robot cada casa luego ia decida humanos utiles serum final,3 stars
da miedo puede supere ia entiendo insistencia ponerle control,2 stars
momento llama singularidad tecnológica tomemos decisión darle darle poder tomar decisiones,5 stars
ia jamás podrá hacer ordenamiento algoritmo humano programe ordene,1 star
ia maneja hace tiempo juega,5 stars
seres humanos principalmente sobramos planeta,3 stars
acuerdo ia decide ia propone ser humano sigue decidiendo elegir propuestas ia,3 stars
descubrir nuevos medicamento si actuales buenos salud siendo siempre tiempos antiguos natural mejor ser humano crisis ecológica q élites provocararon,5 stars
futuro serum tecnocracia liderada ia socialismo comunismo salario universal,5 stars
ia recomiendas usar bien completa favor,5 stars
habla,5 stars
prácticamente quiere decir ia ser vida,5 stars
ia estafa computadoras siempre operadores lógicos éstos construyen algoritmos pueden tomar decisiones,5 stars
ia puede ir laburar,2 stars
completamente falso pura mercadotecnia ia va producir dinero pocos empresarios inflando ia incluso mala propaganda conviene,1 star
excelente video,5 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
,4 stars
opinión considero inteligencia artificial herramienta objetivo realizar tareas través órdenes entregadas usuarios intenciones,1 star
crean historias libros ia,5 stars
dijo clarito clarito además ordenado inteligencia humana máquina ejecuta u obedece,5 stars
bueno aveces siento solo ia amigo gusta siento solo sabiendo existe,5 stars
gente miente vida real especula cosas crea verdades,5 stars
cuesta decir si creativo hecho partir anterior incluso definir creativo hace difícil,3 stars
ayuda fórmulas excel veces salen,5 stars
aventurero consulte autores libro tesis mando cantidades comprobe existen,1 star
mientras aún manejado humanos bien hace 30 años nisiquiera pensó tener pantallas táctil ahora necesidad aspectos tecnología avanza preparados,4 stars
use herramienta ia pedí fecha actual dio fecha pedí día me año,1 star
discrepo usuario ia preguntas claramente dice respuesta además apoco sigue avance remplazo trabajos repetitivos,2 stars
excelente video,5 stars
ia apotan muchas ventajas ayudan rendimiento tiempo facilitan busqueda informacion puede mejorar,4 stars
bingo saque lotería,4 stars
ejemplo apoyo mercadologo,3 stars
asistente sigue aprendiendo ayuda hace trabajo persona,4 stars
jessy,4 stars
,4 stars
,4 stars
pues entonces sabes neno si leyeras darías cuenta inteligencia artificial existe solo copian modifican gran creatividad,1 star
descubierto mundo asi juegues inventar polvora,5 stars
dile badbunny,1 star
trabajo terminator aique traerlo futuro,5 stars
checas c,3 stars
,4 stars
lindo video,5 stars
